"keys","en","zh_CN","zh_TW","ja","es_ES","es_419","pt_BR","pt_PT","fr","de","da","id","nb","sv","nl","vi","ms","ko","ru","uk","_id","_group","_note"
"Settings_AutoHideCounter","Auto-hide Counter","计数器自动隐藏","計數器自動隱藏","カウンターを自動的に隠す","Ocultar automáticamente el contador","Ocultar automaticamente o contador","Ocultar automaticamente o contador","Ocultar automaticamente o contador","Masquer automatiquement le compteur","Zähler automatisch ausblenden","Skjul tæller automatisk","Sembunyikan Penghitung Otomatis","Skjul telleren automatisk","Dölj räknaren automatiskt","Teller automatisch verbergen","Tự động ẩn bộ đếm","Sembunyikan Kaunter Secara Automatik","카운터 자동 숨기기","Автоматически скрывать счётчик","Автоматично приховувати лічильник","200509","Settings","桌宠计数器自动隐藏设置"
"Settings_PokerFrameRate","Poker Frame Rate","扑克画面帧率","撲克畫面幀率","ポーカー画面のフレームレート","FPS del póquer","FPS del póquer","FPS do pôquer","FPS do póquer","IPS du poker","Poker-FPS","Poker-FPS","FPS Poker","Poker-FPS","Poker-FPS","Poker-FPS","FPS poker","FPS Poker","포커 화면 FPS","Частота кадров покера","Частота кадрів покеру","200507","Settings","扑克 SubViewport 重绘帧率设置"
"Settings_VerticalSync","Vertical Sync","垂直同步","垂直同步","垂直同期","Sincronización vertical","Sincronización vertical","Sincronização vertical","Sincronização vertical","Synchronisation verticale","Vertikale Synchronisierung","Lodret synkronisering","Sinkronisasi vertikal","Vertikal synkronisering","Vertikal synkronisering","Verticale synchronisatie","Đồng bộ dọc","Penyegerakan menegak","수직 동기화","Вертикальная синхронизация","Вертикальна синхронізація","200508","Settings","垂直同步开关"
"Settings_CenterCounterOnTaskbar","Center Counter within Taskbar Height","计数器按任务栏高度居中","計數器依工作列高度置中","タスクバーの高さに合わせてカウンターを中央揃え","Centra el contador según la altura de la barra de tareas","Centra el contador según la altura de la barra de tareas","Centralizar contador pela altura da barra de tarefas","Centrar o contador pela altura da barra de tarefas","Centrer le compteur selon la hauteur de la barre des tâches","Zähler innerhalb der Taskleistenhöhe zentrieren","Centrér tælleren efter proceslinjens højde","Tengahkan Penghitung dalam Tinggi Taskbar","Sentrer telleren innenfor høyden på oppgavelinjen","Centrera räknaren inom aktivitetsfältets höjd","Teller binnen taakbalkhoogte centreren","Căn giữa bộ đếm theo chiều cao thanh tác vụ","Tengah Kaunter Mengikut Ketinggian Bar Tugas","작업 표시줄 높이 내에서 카운터 가운데 맞춤","Центрировать счётчик по высоте панели задач","Центрувати лічильник за висотою панелі завдань","200506","Settings","计数器布局设置"
"Settings_SaveData","Save Data","存档","存檔","セーブデータ","Datos guardados","Datos guardados","Dados salvos","Dados gravados","Données de sauvegarde","Speicherdaten","Gemte data","Data Simpanan","Lagringsdata","Sparade data","Opslaggegevens","Dữ liệu lưu","Dara Simpanan","저장 데이터","Сохранение данных","Збереження даних","200601","Settings","设置页分组标题"
"Settings_ResetSaveData","Reset Save Data","重置存档","重置存檔","セーブデータをリセット","Restablecer datos guardados","Restablecer datos guardados","Redefinir dados salvos","Repor dados gravados","Réinitialiser les données de sauvegarde","Speicherdaten zurücksetzen","Gemte data nulstil","Reset Data Simpanan","Tilbakestill lagringsdata","Återställ sparade data","Opslaggegevens resetten","Đặt lại dữ liệu lưu","Tetapkan Semula Data Simpanan","저장 데이터 초기화","Сбросить сохранение","Скинути збереження","200602","Settings","危险操作按钮"
"Settings_ResetSaveMessage","Reset local save data? This will clear chips, owned items, and equipped items. Steam achievements and other data associated with your Steam account will not be affected. Unless you need to start over or troubleshoot an issue, we recommend not resetting your save data.","确定要重置本地存档吗？这会清空筹码、已拥有物品和已装备物品。Steam 成就及其他与 Steam 帐号关联的数据不会受到影响。除非需要从头开始体验或排查问题，否则不建议重置存档。","確定要重置本機存檔嗎？這會清空籌碼、已擁有物品和已裝備物品。Steam 成就及其他與 Steam 帳號關聯的資料不會受到影響。除非需要從頭開始體驗或排查問題，否則不建議重置存檔。","ローカルのセーブデータをリセットしますか？チップ、所持アイテム、装備中のアイテムが消去されます。Steam実績およびSteamアカウントに紐づくその他のデータには影響しません。最初からやり直す、または問題の調査が必要な場合を除き、セーブデータのリセットはおすすめしません。","¿Restablecer los datos guardados locales? Se eliminarán las fichas, los objetos que posees y los objetos equipados. Los logros de Steam y otros datos asociados a tu cuenta de Steam no se verán afectados. No recomendamos restablecer los datos guardados salvo que quieras empezar de nuevo o solucionar un problema.","¿Restablecer los datos guardados locales? Se eliminarán las fichas, los objetos que posees y los objetos equipados. Los logros de Steam y otros datos asociados a tu cuenta de Steam no se verán afectados. No recomendamos restablecer los datos guardados salvo que quieras empezar de nuevo o solucionar un problema.","Redefinir os dados salvos locais? Isso removerá fichas, itens que você possui e itens equipados. Conquistas do Steam e outros dados associados à sua conta Steam não serão afetados. Não recomendamos redefinir os dados salvos a menos que você precise recomeçar ou resolver um problema.","Repor os dados gravados locais? Isto irá remover fichas, itens que possui e itens equipados. As conquistas do Steam e outros dados associados à sua conta Steam não serão afetados. Não recomendamos repor os dados gravados exceto se precisar de recomeçar ou resolver um problema.","Réinitialiser les données de sauvegarde locales ? Cela supprimera les jetons, les objets possédés et les objets équipés. Les succès Steam et les autres données associées à votre compte Steam ne seront pas affectés. Sauf si vous voulez recommencer ou résoudre un problème, nous vous déconseillons de réinitialiser vos données.","Lokale Speicherdaten zurücksetzen? Dadurch werden Chips, besessene und ausgerüstete Gegenstände gelöscht. Steam-Erfolge und andere mit deinem Steam-Konto verknüpfte Daten bleiben erhalten. Wir empfehlen das Zurücksetzen nur, wenn du neu beginnen oder ein Problem beheben möchtest.","Nulstil lokale gemte data? Dette sletter point, ejede genstande og udstyrede genstande. Steam-præstationer og andre data knyttet til din Steam-konto påvirkes ikke. Vi anbefaler kun nulstilling hvis du vil starte forfra eller løse et problem.","Reset data simpanan lokal? Ini akan menghapus poin, item yang dimiliki, dan item yang dikenakan. Pencapaian Steam dan data lain yang terkait dengan akun Steam Anda tidak akan terpengaruh. Kami tidak menyarankan reset kecuali Anda ingin memulai ulang atau memecahkan masalah.","Tilbakestille lokale lagringsdata? Dette fjerner poeng, eide gjenstander og utstyrte gjenstander. Steam-prestasjoner og andre data knyttet til Steam-kontoen din påvirkes ikke. Vi anbefaler ikke tilbakestilling med mindre du vil starte på nytt eller feilsøke et problem.","Återställa lokala sparade data? Detta rensar poäng, ägda föremål och utrustade föremål. Steam-prestationer och annan data kopplad till ditt Steam-konto påverkas inte. Vi rekommenderar inte återställning om du inte vill börja om eller felsöka ett problem.","Lokale opslaggegevens resetten? Hiermee worden punten, bezeten items en uitgeruste items gewist. Steam-prestaties en andere gegevens die aan je Steam-account zijn gekoppeld blijven behouden. We raden resetten alleen aan als je opnieuw wilt beginnen of een probleem wilt oplossen.","Đặt lại dữ liệu lưu cục bộ? Thao tác này sẽ xóa điểm, vật phẩm sở hữu và vật phẩm đang trang bị. Thành tựu Steam và dữ liệu khác liên kết với tài khoản Steam của bạn sẽ không bị ảnh hưởng. Chúng tôi không khuyến nghị đặt lại trừ khi bạn muốn bắt đầu lại hoặc khắc phục sự cố.","Tetapkan semula data simpanan tempatan? Ini akan memadam mata, item yang dimiliki dan item yang dilengkapkan. Pencapaian Steam serta data lain yang berkaitan dengan akaun Steam anda tidak akan terjejas. Kami tidak mengesyorkan tetapan semula melainkan anda mahu bermula semula atau menyelesaikan masalah.","로컬 저장 데이터를 초기화할까요? 포인트, 보유 아이템, 장착 아이템이 삭제됩니다. Steam 업적 및 Steam 계정과 연결된 기타 데이터는 영향을 받지 않습니다. 처음부터 다시 시작하거나 문제를 해결해야 하는 경우가 아니라면 초기화를 권장하지 않습니다.","Сбросить локальные данные сохранения? Будут удалены очки, полученные и надетые предметы. Достижения Steam и другие данные, связанные с вашим аккаунтом Steam, не будут затронуты. Если вам не нужно начать заново или устранить проблему, мы рекомендуем не сбрасывать данные сохранения.","Скинути локальні дані збереження? Буде видалено очки, отримані та вдягнені предмети. Досягнення Steam та інші дані, пов’язані з вашим обліковим записом Steam, не буде змінено. Якщо вам не потрібно починати спочатку або усувати проблему, ми радимо не скидати дані збереження.","200603","Settings","重置存档确认说明"
"Settings_ResetSaveConfirm","Reset","重置","重置","リセット","Restablecer","Restablecer","Redefinir","Repor","Réinitialiser","Zurücksetzen","Nulstil","Reset","Tilbakestill","Återställ","Resetten","Đặt lại","Tetapkan Semula","초기화","Сбросить","Скинути","200604","Settings","重置存档确认按钮"
"OutfitPreset_SaveEmptySlot","Save current outfit","保存当前装扮","儲存目前裝扮","現在のコーデを保存","Guardar atuendo actual","Guardar atuendo actual","Salvar traje atual","Guardar visual atual","Enregistrer la tenue actuelle","Aktuelles Outfit speichern","Gem nuværende outfit","Simpan pakaian saat ini","Lagre gjeldende antrekk","Spara nuvarande outfit","Huidige outfit opslaan","Lưu trang phục hiện tại","Simpan pakaian semasa","현재 꾸미기 저장","Сохранить текущий наряд","Зберегти поточне вбрання","200901","OutfitPreset","空槽位提示"
"OutfitPreset_ApplySlot","Apply this outfit","应用这套装扮","套用這套裝扮","このコーデを適用","Aplicar este atuendo","Aplicar este atuendo","Aplicar este traje","Aplicar este visual","Appliquer cette tenue","Dieses Outfit anwenden","Anvend dette outfit","Terapkan pakaian ini","Bruk dette antrekket","Använd den här outfiten","Deze outfit toepassen","Áp dụng trang phục này","Guna pakaian ini","이 꾸미기 적용","Применить этот наряд","Застосувати це вбрання","200902","OutfitPreset","已有槽位提示"
"OutfitPreset_DeleteSlot","Delete preset","删除预设","刪除預設","プリセットを削除","Eliminar preajuste","Eliminar preajuste","Excluir predefinição","Eliminar predefinição","Supprimer le préréglage","Vorlage löschen","Slet forudindstilling","Hapus preset","Slett forhåndsinnstilling","Ta bort förinställning","Voorinstelling verwijderen","Xóa cài đặt sẵn","Padam pratetap","프리셋 삭제","Удалить предустановку","Видалити пресет","200903","OutfitPreset","删除按钮提示"
"Wardrobe_EmptyCategory","No items in this category yet. Time to fetch some!","还没有这个分类的物品，想办法去搞点吧汪~","這個分類還沒有物品，想辦法去弄一點吧汪~","このカテゴリにはまだアイテムがありません。何か見つけに行きましょう！","Aún no hay artículos en esta categoría. ¡Es hora de conseguir algunos!","Aún no hay artículos en esta categoría. ¡Es hora de conseguir algunos!","Ainda não há itens nesta categoria. Hora de buscar alguns!","Ainda não há itens nesta categoria. Está na hora de arranjar alguns!","Pas encore d'objets dans cette catégorie. Il est temps d'en trouver !","Noch keine Gegenstände in dieser Kategorie. Zeit welche zu finden!","Ingen genstande i denne kategori endnu. Tid til at finde nogle!","Belum ada item di kategori ini. Saatnya mencari!","Ingen gjenstander i denne kategorien ennå. På tide å finne noen!","Inga föremål i denna kategori ännu. Dags att hitta några!","Nog geen items in deze categorie. Tijd om er wat te vinden!","Chưa có vật phẩm trong danh mục này. Đến lúc kiếm vài món rồi!","Belum ada item dalam kategori ini. Masa untuk mencari!","이 카테고리에는 아직 아이템이 없어요. 찾아볼 시간이에요!","В этой категории пока нет предметов. Пора что-нибудь найти!","У цій категорії ще немає предметів. Час щось знайти!","300101","Wardrobe","装扮页空分类提示"
"Wardrobe_Tab_Dog","Dog","狗狗","狗狗","犬","Perro","Perro","Cão","Cão","Chien","Hund","Hund","Anjing","Hund","Hund","Hond","Chó","Anjing","강아지","Собака","Собака","300102","Wardrobe","装扮分类标签提示"
"Wardrobe_Tab_Hat","Hat","帽子","帽子","帽子","Sombrero","Sombrero","Chapéu","Chapéu","Chapeau","Hut","Hat","Topi","Hatt","Hatt","Hoed","Mũ","Topi","모자","Головной убор","Головний убір","300103","Wardrobe","装扮分类标签提示"
"Wardrobe_Tab_Player","Player","玩家","玩家","プレイヤー","Jugador","Jugador","Joueur","Jogador","Joueur","Spieler","Spiller","Pemain","Spiller","Spelare","Speler","Người chơi","Pemain","플레이어","Игрок","Гравець","300105","Wardrobe","装扮分类标签提示"
"Wardrobe_Tab_Theme","Theme","主题","主題","テーマ","Tema","Tema","Tema","Tema","Thème","Thema","Tema","Tema","Tema","Tema","Thema","Chủ đề","Tema","테마","Тема","Тема","300106","Wardrobe","装扮分类标签提示"
"Wardrobe_Tab_Refreshment","Refreshments","饮品","飲品","ドリンク","Refrescos","Refrescos","Bebidas","Bebidas","Rafraîchissements","Erfrischungen","Forfriskninger","Minuman","Forfriskninger","Förfriskningar","Verfrissingen","Đồ uống","Minuman","음료","Напитки","Напої","300107","Wardrobe","装扮分类标签提示"
"LinkTree_SyncingRewards","Checking Steam rewards, please wait...\n\nIf Steam inventory does not reconnect for a while, check your network or try a different VPN/proxy connection.","正在检查 Steam 奖励，请稍候...\n\n若 Steam 库存长时间未恢复，请检查网络或切换加速器 / VPN 节点。","正在檢查 Steam 獎勵，請稍候…\n\n若 Steam 收藏庫長時間未恢復，請檢查網路連線，或嘗試其他 VPN／代理連線。","Steam 報酬を確認しています。しばらくお待ちください…\n\nSteam インベントリが長時間復旧しない場合は、ネットワーク接続を確認するか、VPN／プロキシ接続を変更してください。","Comprobando las recompensas de Steam, espera...\n\nSi el inventario de Steam no se recupera tras un tiempo, revisa tu conexión o prueba con otra conexión VPN/proxy.","Estamos verificando las recompensas de Steam, espera...\n\nSi el inventario de Steam no se recupera después de un tiempo, revisa tu conexión o cambia de acelerador / nodo VPN.","Verificando as recompensas da Steam, aguarde...\n\nSe o inventário da Steam não se reconectar após algum tempo, verifique sua rede ou tente outra conexão VPN/proxy.","A verificar as recompensas da Steam, aguarde...\n\nSe o inventário Steam não recuperar após algum tempo, verifique a ligação de rede ou experimente outra ligação VPN/proxy.","Vérification des récompenses Steam, veuillez patienter…\n\nSi l'inventaire Steam ne se reconnecte pas après un moment, vérifiez votre réseau ou essayez une autre connexion VPN/proxy.","Steam-Belohnungen werden geprüft, bitte warten…\n\nWenn sich das Steam-Inventar nach längerer Zeit nicht wieder verbindet, prüfen Sie Ihre Netzwerkverbindung oder versuchen Sie eine andere VPN-/Proxy-Verbindung.","Steam-belønninger kontrolleres, vent venligst…\n\nHvis Steam-lageret ikke genopretter forbindelsen efter et stykke tid, skal du kontrollere netværket eller prøve en anden VPN-/proxyforbindelse.","Sedang memeriksa hadiah Steam, harap tunggu...\n\nJika inventaris Steam belum pulih setelah beberapa saat, periksa jaringan Anda atau ganti akselerator / node VPN.","Sjekker Steam-belønninger. Vent litt…\n\nHvis Steam-lageret ikke kobler til igjen etter en stund, sjekk nettverket eller prøv en annen VPN-/proxytilkobling.","Steam-belöningar kontrolleras, vänta…\n\nOm Steam-inventariet inte återansluter efter en stund, kontrollera nätverket eller prova en annan VPN-/proxyanslutning.","Steam-beloningen worden gecontroleerd, even geduld…\n\nAls de verbinding met de Steam-inventaris na enige tijd niet herstelt, controleer dan je netwerk of probeer een andere VPN-/proxyverbinding.","Đang kiểm tra phần thưởng Steam, vui lòng chờ...\n\nNếu kho đồ Steam chưa khôi phục sau một thời gian, hãy kiểm tra mạng hoặc đổi tăng tốc mạng / nút VPN.","Menyemak ganjaran Steam, sila tunggu…\n\nJika inventori Steam tidak bersambung semula selepas beberapa ketika, periksa rangkaian anda atau cuba sambungan VPN/proksi lain.","Steam 보상을 확인하는 중입니다. 잠시만 기다려 주세요…\n\nSteam 인벤토리가 오랫동안 다시 연결되지 않으면 네트워크를 확인하거나 다른 VPN/프록시 연결을 시도해 주세요.","Проверяем награды Steam, подождите...\n\nЕсли инвентарь Steam долго не подключается, проверьте сеть или попробуйте другое VPN-/прокси-соединение.","Перевіряємо нагороди Steam, зачекайте...\n\nЯкщо інвентар Steam довго не підключається, перевірте мережу або спробуйте інше VPN-/проксі-з’єднання.","300001","LinkTree","Steam 库存同步期间的占位文本"
"LinkTree_RewardsUnavailable","Steam rewards are temporarily unavailable","Steam 奖励暂时不可用","Steam 獎勵暫時無法使用","Steam報酬は一時的に利用できません","Las recompensas de Steam no están disponibles temporalmente","Las recompensas de Steam no están disponibles temporalmente","As recompensas do Steam estão temporariamente indisponíveis","As recompensas do Steam estão temporariamente indisponíveis","Les récompenses Steam sont temporairement indisponibles","Steam-Belohnungen sind vorübergehend nicht verfügbar","Steam-belønninger er midlertidigt utilgængelige","Hadiah Steam sementara tidak tersedia","Steam-belønninger er midlertidig utilgjengelige","Steam-belöningar är tillfälligt otillgängliga","Steam-beloningen zijn tijdelijk niet beschikbaar","Phần thưởng Steam hiện tạm thời không khả dụng","Ganjaran Steam tidak tersedia buat sementara waktu","Steam 보상을 일시적으로 사용할 수 없습니다","Награды Steam временно недоступны","Нагороди Steam тимчасово недоступні","300002","LinkTree","Steam 库存同步失败时的占位文本"
"InfoPanel_Chips","Chips","筹码","籌碼","チップ","Fichas","Fichas","Fichas","Fichas","Jetons","Chips","Point","Poin","Poeng","Poäng","Fiches","Điểm","Mata","칩","Фишки","Фішки","400001","InfoPanel","扑克信息面板筹码标题"
"InfoPanel_Chips_Safe","Lucky Points","幸运点数","幸運點數","ラッキーポイント","Puntos de suerte","Puntos de suerte","Pontos de sorte","Pontos de sorte","Points de chance","Glückspunkte","Heldige point","Poin Keberuntungan","Lykkepoeng","Turpoäng","Gelukspunten","Điểm may mắn","Mata Tuah","행운 포인트","Очки удачи","Щасливі очки","400002","InfoPanel","安全模式筹码标题"
"InfoPanel_Open","Open Box","开盒","開盒","開封","Abrir caja","Abrir caja","Abrir caixa","Abrir caixa","Ouvrir la boîte","Box öffnen","Åbn boks","Buka Kotak","Åpne boks","Öppna låda","Doos openen","Mở hộp","Buka Kotak","상자 열기","Открыть лутбокс","Відкрити лутбокс","400003","InfoPanel","盲盒按钮"
"InfoPanel_Menu","Menu","菜单","選單","メニュー","Menú","Menú","Menu","Menu","Menu","Menü","Menu","Menu","Meny","Meny","Menu","Menu","Menu","메뉴","Меню","Меню","400004","InfoPanel","系统面板按钮"
"InfoPanel_GoodLuck","Good Luck!","祝你好运！","祝你好運！","幸運を！","¡Buena suerte!","¡Buena suerte!","Boa sorte!","Boa sorte!","Bonne chance !","Viel Glück!","Held og lykke!","Semoga beruntung!","Lykke til!","Lycka till!","Veel succes!","Chúc may mắn!","Semoga berjaya!","행운을 빌어요!","Удачи!","Успіхів!","400005","InfoPanel","新牌局默认提示"
"InfoPanel_Nothing","Nothing","无牌型","無牌型","なし","Sin jugada","Sin jugada","Sem jogo","Sem jogo","Rien","Nichts","Intet","Tidak ada","Ingenting","Ingenting","Niets","Không có","Tiada","없음","Нет комбинации","Немає комбінації","400006","InfoPanel","无中奖牌型"
"InfoPanel_YouWin","You win {0}","赢得 {0}","贏得 {0}","{0} 獲得","Ganas {0}","Ganas {0}","Você ganhou {0}","Ganhaste {0}","Vous gagnez {0}","Du gewinnst {0}","Du vinder {0}","Anda menang {0}","Du vinner {0}","Du vinner {0}","Je wint {0}","Bạn thắng {0}","Anda menang {0}","{0} 획득","Вы выиграли: {0}","Ви виграли: {0}","400007","InfoPanel","获胜提示"
"Paytable_OnePair","One Pair","一对","一對","ワンペア","Pareja","Pareja","Par","Par","Une paire","Ein Paar","Et par","Satu Pasang","Ett par","Ett par","Eén paar","Một đôi","Satu Pasang","원 페어","Одна пара","Одна пара","500001","Paytable","原始牌型名称"
"Paytable_OnePair_Safe","Top Dogs","好犬优选","好犬優選","トップドッグ","Perros estrella","Perros estrella","Cães de destaque","Cães de destaque","Chiens vedettes","Top-Hunde","Tophunde","Anjing Unggulan","Topp-hunder","Topp-hundar","Tophonden","Chó nổi bật","Anjing Pilihan","최고의 강아지","Лучшие псы","Найкращі пси","500002","Paytable","安全模式牌型名称"
"Paytable_TwoPair","Two Pair","两对","兩對","ツーペア","Doble pareja","Doble pareja","Dois pares","Dois pares","Deux paires","Zwei Paare","To par","Dua Pasang","To par","TVå par","Twee paar","Hai đôi","Dua Pasang","투 페어","Две пары","Дві пари","500003","Paytable","原始牌型名称"
"Paytable_TwoPair_Safe","Twin Pairs","双犬配对","雙犬配對","ツインペア","Dúo canino","Dúo canino","Duo canino","Duo canino","Paires de chiots","Hundepaar","To hunde","Pasangan Anjing","Hundepar","Hundpar","Hondenpaar","Cặp chó","Pasangan Anjing","강아지 한 쌍","Пара пар","Пара пар","500004","Paytable","安全模式牌型名称"
"Paytable_ThreeOfAKind","Three of a Kind","三条","三條","スリーカード","Trío","Trío","Trinca","Trio","Brelan","Drilling","Tre ens","Tiga Sejenis","Trilling","Triss","Drie dezelfde","Bộ ba","Tiga Sejenis","트리플","Тройка","Трійка","500005","Paytable","原始牌型名称"
"Paytable_ThreeOfAKind_Safe","Triple Pals","三犬同行","三犬同行","トリプルパル","Trío canino","Trío canino","Trio canino","Trio canino","Trio de copains","Hundetrio","Tre venner","Trio Kawan","Hundetrio","Hundtrio","Hondentrio","Bộ ba chó","Trio Anjing","강아지 트리오","Тройные друзья","Троє друзів","500006","Paytable","安全模式牌型名称"
"Paytable_Straight","Straight","顺子","順子","ストレート","Escalera","Escalera","Sequência","Sequência","Quinte","Straße","Straight","Lurus","Straight","Straight","Straat","Sảnh","Lurus","스트레이트","Стрит","Стріт","500007","Paytable","原始牌型名称"
"Paytable_Straight_Safe","Chain Walk","顺位犬链","順位犬鏈","チェーンウォーク","Paseo en cadena","Paseo en cadena","Corrente canina","Corrente canina","Promenade en chaîne","Ketten-Spaziergang","Kædegang","Jalan Berantai","Lenketur","Kedjepromenad","Kettingwandeling","Đi dạo theo chuỗi","Jalan Rantai","연속 산책","Цепная прогулка","Ланцюгова прогулянка","500008","Paytable","安全模式牌型名称"
"Paytable_Flush","Flush","同花","同花","フラッシュ","Color","Color","Flush","Flush","Couleur","Flush","Flush","Flush","Flush","Flush","Flush","Thùng","Flush","플러시","Флеш","Флеш","500009","Paytable","原始牌型名称"
"Paytable_Flush_Safe","Matching Den","同色犬舍","同色犬舍","マッチングデン","Guarida a juego","Guarida a juego","Canil combinando","Canil a combinar","Niche assortie","Passende Hundehütte","Matchende hundehus","Kandang Serasi","Matchende hundehus","Matchande hundkoja","Bijpassend hondenhok","Chuồng hợp màu","Kandang Sepadan","어울리는 집","Одинаковая будка","Однакова будка","500010","Paytable","安全模式牌型名称"
"Paytable_FullHouse","Full House","葫芦","葫蘆","フルハウス","Full","Full","Full house","Full house","Full","Full House","Full House","Full House","Full House","Full House","Full House","Cù lũ","Full House","풀 하우스","Фулл-хаус","Фул-хаус","500011","Paytable","原始牌型名称"
"Paytable_FullHouse_Safe","Puppy Party","狗狗满堂","狗狗滿堂","パピーパーティー","Fiesta de cachorros","Fiesta de cachorros","Festa dos filhotes","Festa dos cachorros","Fête des chiots","Welpenparty","Hvalpefest","Pesta Anak Anjing","Valpefest","Valpfest","Puppyfeest","Tiệc cún con","Pesta Anak Anjing","강아지 파티","Щенячья вечеринка","Щеняча вечірка","500012","Paytable","安全模式牌型名称"
"Paytable_FourOfAKind","Four of a Kind","四条","四條","フォーカード","Póker","Póker","Quadra","Quadra","Carré","Vierling","Fire ens","Empat Sejenis","Firerling","Fyrtal","Vier dezelfde","Tứ quý","Empat Sejenis","포 카드","Каре","Каре","500013","Paytable","原始牌型名称"
"Paytable_FourOfAKind_Safe","Dog Squad","四犬成团","四犬成團","ドッグスクワッド","Manada perruna","Manada perruna","Esquadrão canino","Esquadrão canino","Escouade canine","Hunderudel","Hundehold","Pasukan Anjing","Hundetropp","Hundpatrull","Hondenploeg","Đội chó","Pasukan Anjing","강아지 부대","Собачья команда","Собача команда","500014","Paytable","安全模式牌型名称"
"Paytable_StraightFlush","Straight Flush","同花顺","同花順","ストレートフラッシュ","Escalera de color","Escalera de color","Straight flush","Straight flush","Quinte flush","Straight Flush","Straight Flush","Straight Flush","Straight Flush","Straight Flush","Straight Flush","Thùng phá sảnh","Straight Flush","스트레이트 플러시","Стрит-флеш","Стріт-флеш","500015","Paytable","原始牌型名称"
"Paytable_StraightFlush_Safe","Purebred Strike","纯种犬连击","純種犬連擊","ピュアブレッドストライク","Racha de pura raza","Racha de pura raza","Ataque de raça pura","Ataque de raça pura","Frappe de race pure","Reinrassiger Treffer","Racehundestrike","Serangan Ras Murni","Rasehundslag","Rashundsträff","Rashondtreffer","Đòn thuần chủng","Serangan Baka Tulen","순종 스트라이크","Удар чистокровных","Удар чистокровних","500016","Paytable","安全模式牌型名称"
"Paytable_RoyalFlush","Royal Flush","皇家同花顺","皇家同花順","ロイヤルフラッシュ","Escalera real","Escalera real","Royal flush","Royal flush","Quinte royale","Royal Flush","Royal Flush","Royal Flush","Royal Flush","Royal Flush","Royal Flush","Sảnh rồng","Royal Flush","로열 플러시","Роял-флеш","Роял-флеш","500017","Paytable","原始牌型名称"
"Paytable_RoyalFlush_Safe","Royal Feast","皇家盛宴","皇家盛宴","ロイヤルフィースト","Banquete real","Banquete real","Banquete real","Banquete real","Festin royal","Königsmahl","Kongelig fest","Pesta Kerajaan","Kongelig fest","Kunglig fest","Koninklijk feest","Đại tiệc hoàng gia","Jamu Diraja","왕실 만찬","Королевский пир","Королівський бенкет","500018","Paytable","安全模式牌型名称"
"BlindBox_TapToPowerUp","Tap to Try Upgrading…","点击尝试升级…","點擊嘗試升級…","タップしてアップグレードに挑戦…","Pulsa para intentar mejorar…","Toca para intentar mejorar…","Toque para tentar melhorar…","Toca para tentar melhorar…","Appuyez pour tenter une amélioration…","Tippen für Upgrade-Versuch…","Tryk for at prøve at opgradere…","Ketuk untuk mencoba peningkatan…","Trykk for å prøve oppgradering…","Tryck för att försöka uppgradera…","Tik om een upgrade te proberen…","Chạm để thử nâng cấp…","Ketik untuk cuba menaik taraf…","탭하여 업그레이드 시도…","Нажмите, чтобы попробовать улучшить…","Натисніть, щоб спробувати покращити…","600001","BlindBox","盲盒升级阶段提示"
"BlindBox_OpenItUp","Open it up!","打开它！","打開它！","開けよう！","¡Ábrela!","¡Ábrela!","Abra-a!","Abre-a!","Ouvrez-la !","Öffne sie!","Åbn den!","Buka!","Åpne den!","Öppna den!","Open hem!","Mở ra nào!","Bukalah!","열어 보세요!","Откройте его!","Відкрийте його!","600002","BlindBox","盲盒待打开阶段提示"
"BlindBox_TapToClaim","Tap to claim","点击领取","點擊領取","タップして受け取る","Pulsa para reclamar","Toca para reclamar","Toque para resgatar","Toca para receber","Appuyez pour récupérer","Tippen zum Abholen","Tryk for at hente","Ketuk untuk klaim","Trykk for å hente","Tryck för att hämta","Tik om te claimen","Chạm để nhận","Ketik untuk tuntut","탭하여 받기","Нажмите, чтобы получить","Натисніть, щоб отримати","600003","BlindBox","奖励领取提示"
"BlindBox_AutoClaimingInSeconds","Auto-claiming in {0}s","{0} 秒后自动领取","{0} 秒後自動領取","{0}秒後に自動受け取り","Reclamación automática en {0} s","Reclamación automática en {0} s","Resgate automático em {0}s","Receção automática em {0}s","Récupération automatique dans {0} s","Automatische Abholung in {0} s","Automatisk hentning om {0} s","Klaim otomatis dalam {0} dtk","Automatisk henting om {0} s","Automatisk hämtning om {0} s","Automatisch claimen over {0} s","Tự động nhận sau {0} giây","Tuntutan automatik dalam {0}s","{0}초 후 자동 수령","Автоматическое получение через {0} с","Автоматичне отримання через {0} с","600004","BlindBox","自动领取倒计时提示"
"BlindBox_Free","Free","免费","免費","無料","Gratis","Gratis","Grátis","Grátis","Gratuit","Kostenlos","Gratis","Gratis","Gratis","Gratis","Gratis","Miễn phí","Percuma","무료","Бесплатно","Безкоштовно","600005","BlindBox","盲盒气球免费提示"
"Settings_ExportDiagnostics","Export diagnostics","导出诊断包","匯出診斷包","診断パッケージをエクスポート","Exportar diagnóstico","Exportar diagnóstico","Exportar diagnóstico","Exportar diagnóstico","Exporter le diagnostic","Diagnose exportieren","Eksportér diagnostik","Ekspor diagnostik","Eksporter diagnostikk","Exportera diagnostik","Diagnostiek exporteren","Xuất gói chẩn đoán","Eksport diagnostik","진단 패키지 내보내기","Экспортировать диагностику","Експортувати діагностику","100054","Settings","导出隐私安全的诊断压缩包"
